년도,단체,리그,일자,시간,홈팀,스코어,원정팀,장소
2023,KBL,정규리그,1205 ( 화 ) ,19:00,수원KT,VS,고양 소노,수원KT소닉붐아레나
2023,KBL,정규리그,1205 ( 화 ) ,19:00,서울삼성,VS,창원LG,잠실실내체육관
2023,KBL,정규리그,1207 ( 목 ) ,19:00,울산현대모비스,VS,서울SK,울산동천체육관
2023,KBL,정규리그,1207 ( 목 ) ,19:00,창원LG,VS,전주KCC,창원실내체육관
2023,KBL,정규리그,1208 ( 금 ) ,19:00,고양 소노,VS,한국가스공사,고양체육관
2023,KBL,정규리그,1208 ( 금 ) ,19:00,원주DB,VS,서울삼성,원주종합체육관
2023,KBL,정규리그,1209 ( 토 ) ,16:00,창원LG,VS,수원KT,창원실내체육관
2023,KBL,정규리그,1209 ( 토 ) ,14:00,울산현대모비스,VS,안양KGC,울산동천체육관
2023,KBL,정규리그,1210 ( 일 ) ,14:00,고양 소노,VS,한국가스공사,고양체육관
2023,KBL,정규리그,1210 ( 일 ) ,16:00,원주DB,VS,안양KGC,원주종합체육관
2023,KBL,정규리그,1211 ( 월 ) ,19:00,울산현대모비스,VS,창원LG,울산동천체육관
2023,KBL,정규리그,1212 ( 화 ) ,19:00,수원KT,VS,서울삼성,수원KT소닉붐아레나
2023,KBL,정규리그,1212 ( 화 ) ,19:00,원주DB,VS,서울SK,원주종합체육관
2023,KBL,정규리그,1212 ( 화 ) ,19:00,전주KCC,VS,한국가스공사,부산사직실내체육관
2023,KBL,정규리그,1214 ( 목 ) ,19:00,한국가스공사,VS,서울SK,대구실내체육관
2023,KBL,정규리그,1215 ( 금 ) ,19:00,전주KCC,VS,원주DB,부산사직실내체육관
2023,KBL,정규리그,1215 ( 금 ) ,19:00,수원KT,VS,고양 소노,수원KT소닉붐아레나
2023,KBL,정규리그,1216 ( 토 ) ,16:00,서울SK,VS,울산현대모비스,잠실학생체육관
2023,KBL,정규리그,1216 ( 토 ) ,14:00,안양KGC,VS,서울삼성,안양실내체육관
2023,KBL,정규리그,1216 ( 토 ) ,14:00,한국가스공사,VS,창원LG,대구실내체육관
2023,KBL,정규리그,1217 ( 일 ) ,16:00,창원LG,VS,서울삼성,창원실내체육관
2023,KBL,정규리그,1217 ( 일 ) ,14:00,전주KCC,VS,고양 소노,부산사직실내체육관
2023,KBL,정규리그,1217 ( 일 ) ,14:00,원주DB,VS,수원KT,원주종합체육관
2023,KBL,정규리그,1218 ( 월 ) ,19:00,안양KGC,VS,한국가스공사,안양실내체육관
2023,KBL,정규리그,1219 ( 화 ) ,19:00,수원KT,VS,서울SK,수원KT소닉붐아레나
2023,KBL,정규리그,1219 ( 화 ) ,19:00,울산현대모비스,VS,전주KCC,울산동천체육관
2023,KBL,정규리그,1221 ( 목 ) ,19:00,고양 소노,VS,서울SK,고양체육관
2023,KBL,정규리그,1221 ( 목 ) ,19:00,한국가스공사,VS,원주DB,대구실내체육관
2023,KBL,정규리그,1222 ( 금 ) ,19:00,울산현대모비스,VS,수원KT,울산동천체육관
2023,KBL,정규리그,1222 ( 금 ) ,19:00,안양KGC,VS,전주KCC,안양실내체육관
2023,KBL,정규리그,1223 ( 토 ) ,14:00,고양 소노,VS,원주DB,고양체육관
2023,KBL,정규리그,1223 ( 토 ) ,14:00,창원LG,VS,서울SK,창원실내체육관
2023,KBL,정규리그,1223 ( 토 ) ,16:00,한국가스공사,VS,서울삼성,대구실내체육관
2023,KBL,정규리그,1224 ( 일 ) ,16:00,창원LG,VS,전주KCC,창원실내체육관
2023,KBL,정규리그,1224 ( 일 ) ,14:00,안양KGC,VS,수원KT,안양실내체육관
2023,KBL,정규리그,1224 ( 일 ) ,14:00,고양 소노,VS,울산현대모비스,고양체육관
2023,KBL,정규리그,1225 ( 월 ) ,16:00,한국가스공사,VS,전주KCC,대구실내체육관
2023,KBL,정규리그,1225 ( 월 ) ,16:00,서울SK,VS,서울삼성,잠실학생체육관
2023,KBL,정규리그,1225 ( 월 ) ,14:00,원주DB,VS,울산현대모비스,원주종합체육관
2023,KBL,정규리그,1226 ( 화 ) ,19:00,창원LG,VS,안양KGC,창원실내체육관
2023,KBL,정규리그,1228 ( 목 ) ,19:00,울산현대모비스,VS,서울삼성,울산동천체육관
2023,KBL,정규리그,1228 ( 목 ) ,19:00,고양 소노,VS,안양KGC,고양체육관
2023,KBL,정규리그,1228 ( 목 ) ,19:00,한국가스공사,VS,수원KT,대구실내체육관
2023,KBL,정규리그,1229 ( 금 ) ,19:00,원주DB,VS,창원LG,원주종합체육관
2023,KBL,정규리그,1230 ( 토 ) ,14:00,고양 소노,VS,서울삼성,고양체육관
2023,KBL,정규리그,1230 ( 토 ) ,14:00,안양KGC,VS,서울SK,안양실내체육관
2023,KBL,정규리그,1230 ( 토 ) ,16:00,수원KT,VS,전주KCC,수원KT소닉붐아레나
2023,KBL,정규리그,1231 ( 일 ) ,22:00,한국가스공사,VS,울산현대모비스,대구실내체육관
2023,KBL,정규리그,1231 ( 일 ) ,16:00,창원LG,VS,고양 소노,창원실내체육관
2023,KBL,정규리그,1231 ( 일 ) ,14:00,안양KGC,VS,원주DB,안양실내체육관
